"brth_yr","gndr","nm","Count","Rank"
2014,"FEMALE","Nina","73","156"
2014,"FEMALE","Sanaa","14","37"
2014,"FEMALE","Mina","12","84"
2014,"MALE","Misael","10","98"
2014,"MALE","Morris","13","99"
2014,"FEMALE","Valentina","180","61"
2014,"MALE","Preston","29","153"
2014,"FEMALE","Jessica","70","159"
2014,"MALE","Theodore","159","167"
2014,"MALE","Mathias","16","92"
2014,"MALE","Maddox","10","98"
2014,"FEMALE","Adelina","11","85"
2014,"MALE","Elliott","12","100"
2014,"MALE","Seth","10","60"
2014,"MALE","Tenzin","42","29"
2014,"FEMALE","April","12","71"
2014,"FEMALE","Janelle","12","39"
2014,"MALE","Quinn","14","98"
2014,"MALE","Adyan","17","51"
2014,"MALE","Gerardo","11","97"
2014,"MALE","Romeo","14","94"
2014,"MALE","Damian","63","158"
2014,"MALE","Maxwell","81","208"
2014,"MALE","Anton","11","101"
2014,"FEMALE","Tori","18","33"
2014,"FEMALE","Alisha","11","39"
2014,"FEMALE","Faiga","24","72"
2014,"FEMALE","Aziza","11","85"
2014,"FEMALE","Layla","144","144"
2014,"MALE","Richard","81","277"
2014,"FEMALE","Audrey","81","148"
2014,"MALE","Ben","13","99"
2014,"MALE","Aidan","85","203"
2014,"MALE","Lazer","26","86"
2014,"FEMALE","Maliyah","20","31"
2014,"FEMALE","Kaylee","133","167"
2014,"FEMALE","Emily","442","35"
2014,"MALE","Luca","126","180"
2014,"FEMALE","Lyric","15","36"
2014,"FEMALE","Skylar","105","142"
2014,"FEMALE","Avery","136","148"
2014,"FEMALE","Jayleen","25","58"
2014,"FEMALE","Tziporah","12","84"
2014,"FEMALE","Nayeli","17","66"
2014,"FEMALE","Siena","16","80"
2014,"FEMALE","Madeleine","35","61"
2014,"MALE","Jude","25","87"
2014,"FEMALE","Allison","132","130"
2014,"FEMALE","Sophia","578","28"
2014,"MALE","Ahnaf","11","57"
2014,"FEMALE","Jannat","13","37"
2014,"MALE","Pinchas","16","96"
2014,"MALE","Angel","204","70"
2014,"FEMALE","Tessa","13","83"
2014,"FEMALE","Camilla","17","79"
2014,"FEMALE","Dakota","13","38"
2014,"FEMALE","Eleanor","77","73"
2014,"MALE","Omar","103","257"
2014,"MALE","Ricky","10","58"
2014,"FEMALE","Genesis","122","45"
2014,"MALE","Skyler","11","97"
2014,"MALE","Julius","63","115"
2014,"MALE","Edwin","52","124"
2014,"MALE","Brian","98","260"
2014,"FEMALE","Arely","11","72"
2014,"FEMALE","Toby","46","50"
2014,"MALE","Abdoulaye","14","56"
2014,"MALE","Calvin","34","216"
2014,"FEMALE","Adelaide","19","77"
2014,"MALE","Juan","66","49"
2014,"FEMALE","Marielle","11","85"
2014,"FEMALE","Beatrice","44","52"
2014,"MALE","Yisroel","83","43"
2014,"FEMALE","Sariah","12","39"
2014,"MALE","Yadiel","15","93"
2014,"FEMALE","Anabella","10","73"
2014,"MALE","Abdoul","11","59"
2014,"MALE","Hamza","16","96"
2014,"FEMALE","Brooke","54","176"
2014,"FEMALE","Annabelle","65","215"
2014,"MALE","Marcos","14","94"
2014,"FEMALE","Hindy","34","62"
2014,"MALE","Marlon","11","97"
2014,"MALE","Allan","13","95"
2014,"MALE","Hillel","12","100"
2014,"MALE","Nelson","12","96"
2014,"FEMALE","Goldie","11","85"
2014,"FEMALE","Alison","21","62"
2014,"FEMALE","Milana","19","77"
2014,"MALE","Nicholas","330","126"
2014,"MALE","Berl","12","100"
2014,"MALE","Theo","12","100"
2014,"FEMALE","Natalie","88","141"
2014,"FEMALE","Antonia","17","79"
2014,"MALE","Maximus","44","176"
