,Name,Gender,National_Count,National_Rank,City_Count,City_Rank,State_Count,State_Rank
426,Joselyn,F,463,1212.0,10,73,25,1318.0
427,Maia,F,456,1224.5,14,69,40,875.5
428,Pearl,F,453,1227.0,23,73,52,714.0
429,Chanel,F,452,1230.0,11,40,25,1318.0
430,Samara,F,450,1234.5,13,37,46,784.5
431,Bryanna,F,443,1247.0,12,71,29,1177.5
432,Nathalie,F,439,1257.5,24,59,39,899.0
433,Elaine,F,438,1259.5,17,33,40,875.5
434,Maisie,F,437,1262.5,14,82,34,1030.0
435,Erica,F,434,1273.0,12,38,36,970.0
436,Lindsay,F,433,1276.5,15,68,36,970.0
437,Amelie,F,430,1282.5,10,86,31,1118.0
438,Irene,F,430,1282.5,16,34,37,945.0
439,Amirah,F,427,1286.0,10,41,38,920.5
440,Ivanna,F,427,1286.0,11,72,19,1622.0
441,Livia,F,426,1288.5,24,122,44,808.5
442,Milan,F,424,1292.5,26,25,52,714.0
443,Erika,F,420,1302.0,13,70,39,899.0
444,Alma,F,417,1308.5,24,155,36,970.0
445,Chaya,F,416,1311.0,194,6,250,154.0
446,Lea,F,415,1313.0,30,66,65,597.0
447,Mae,F,413,1319.0,11,85,29,1177.5
448,Leyla,F,410,1330.5,11,72,25,1318.0
449,Mina,F,410,1330.5,12,84,33,1064.0
450,Lailah,F,405,1344.5,10,41,29,1177.5
451,Siena,F,404,1347.0,16,80,51,728.0
452,Hadassah,F,402,1352.5,13,83,34,1030.0
453,Amia,F,397,1363.5,10,41,26,1278.0
454,Amiya,F,397,1363.5,10,41,27,1241.5
455,Zaniyah,F,396,1366.0,10,41,18,1691.5
456,Cindy,F,394,1368.5,25,25,43,819.5
457,Celine,F,391,1372.0,32,197,46,784.5
458,Eileen,F,391,1372.0,29,104,54,688.5
459,Simone,F,389,1378.0,22,74,45,799.0
460,Marjorie,F,387,1385.0,16,67,34,1030.0
461,Tori,F,384,1394.5,18,33,31,1118.0
462,Brenda,F,383,1400.0,14,69,28,1211.5
463,Margot,F,377,1414.0,19,77,26,1278.0
464,Arely,F,376,1419.0,11,72,15,1926.0
465,Lisa,F,376,1419.0,11,39,27,1241.5
466,Lizbeth,F,372,1432.0,19,64,29,1177.5
467,Milana,F,370,1438.0,19,77,38,920.5
468,Adele,F,365,1452.0,24,72,56,671.0
469,Thea,F,364,1456.0,11,85,26,1278.0
470,Lina,F,363,1460.5,25,121,38,920.5
471,Sariah,F,363,1460.5,12,39,21,1495.0
472,Wendy,F,358,1476.0,11,72,20,1555.0
473,Liv,F,357,1479.0,16,80,24,1358.0
474,Nathaly,F,357,1479.0,19,64,29,1177.5
475,Celia,F,355,1486.0,10,86,26,1278.0
476,Jaylene,F,354,1490.0,13,70,20,1555.0
477,Joyce,F,352,1498.5,15,35,40,875.5
478,Esme,F,341,1521.0,14,82,33,1064.0
479,Kristen,F,340,1525.5,10,41,36,970.0
480,Aliza,F,339,1529.0,17,79,44,808.5
481,Lara,F,337,1533.5,17,79,35,996.5
482,Jenny,F,335,1543.5,20,30,34,1030.0
483,Ayleen,F,333,1552.0,12,71,14,2029.5
484,Hana,F,329,1565.5,24,122,32,1090.5
485,Angeline,F,323,1588.5,12,71,21,1495.0
486,Alissa,F,321,1597.0,10,73,23,1397.0
487,Barbara,F,321,1597.0,10,86,20,1555.0
488,Carla,F,320,1601.0,13,70,20,1555.0
489,Chana,F,319,1606.0,143,10,174,230.0
490,Giovanna,F,313,1625.0,13,83,49,750.0
491,Keyla,F,313,1625.0,15,68,26,1278.0
492,Sharon,F,313,1625.0,16,34,34,1030.0
493,Kimora,F,311,1633.0,13,38,23,1397.0
494,Saniyah,F,311,1633.0,10,41,24,1358.0
495,Wynter,F,311,1633.0,12,39,26,1278.0
496,Salma,F,309,1642.0,10,86,33,1064.0
497,Zendaya,F,307,1648.0,13,38,27,1241.5
498,Amalia,F,306,1653.0,15,68,33,1064.0
499,Libby,F,306,1653.0,30,66,43,819.5
500,Sherlyn,F,305,1658.0,22,61,27,1241.5
501,Alisha,F,303,1665.5,11,39,42,837.0
502,Emmeline,F,302,1671.0,11,85,22,1442.0
503,Yasmin,F,302,1671.0,10,73,27,1241.5
504,Zainab,F,302,1671.0,24,26,40,875.5
505,Rivka,F,293,1706.0,100,20,175,228.0
506,Jaylin,F,291,1712.5,14,69,19,1622.0
507,Noa,F,289,1725.5,28,68,53,700.5
508,Clementine,F,287,1737.5,11,85,19,1622.0
509,Alisa,F,285,1749.0,24,122,28,1211.5
510,Louisa,F,281,1762.5,12,84,24,1358.0
511,Raina,F,279,1772.5,10,40,28,1211.5
512,Lesly,F,276,1787.0,15,68,19,1622.0
513,Antonia,F,272,1807.0,17,79,48,759.5
514,Aya,F,270,1820.0,14,82,31,1118.0
515,Noor,F,256,1879.0,28,118,41,855.0
516,Carina,F,254,1892.5,18,32,42,837.0
517,Selina,F,247,1928.5,19,31,31,1118.0
518,Poppy,F,245,1941.0,14,82,16,1840.0
519,Tess,F,235,1998.5,11,85,25,1318.0
520,Elina,F,230,2030.0,16,34,30,1145.0
521,Jana,F,229,2035.5,10,86,20,1555.0
522,Sylvie,F,228,2042.0,10,86,15,1926.0
523,Sanaa,F,219,2102.0,14,37,25,1318.0
524,Kayleen,F,216,2121.0,15,68,23,1397.0
525,Zelda,F,213,2140.0,12,84,21,1495.0
526,Samira,F,208,2171.5,10,86,34,1030.0
527,Anayah,F,202,2217.0,10,40,27,1241.5
528,Nahla,F,202,2217.0,13,38,22,1442.0
529,Shirley,F,202,2217.0,32,101,47,769.0
530,Hailie,F,201,2227.0,10,73,26,1278.0
531,Alessia,F,200,2238.5,20,76,42,837.0
532,Valery,F,191,2306.5,12,71,19,1622.0
